Action, coin , Price , date
buy,eth,1462.94000000,2021-03-02_22:17:25
sell,eth,1475.43000000,2021-03-03_00:22:02
buy,eth,1488.57000000,2021-03-03_01:08:00
sell,eth,1490.48000000,2021-03-03_01:39:22
buy,eth,1488.90000000,2021-03-03_01:54:00
sell,eth,1490.44000000,2021-03-03_02:14:44
buy,eth,1503.94000000,2021-03-03_02:23:00
sell,eth,1510.70000000,2021-03-03_03:47:00
buy,eth,1516.44000000,2021-03-03_03:54:00
sell,eth,1518.12000000,2021-03-03_04:37:23
buy,eth,1526.51000000,2021-03-03_04:45:00
sell,eth,1539.23000000,2021-03-03_06:41:01
buy,eth,1545.07000000,2021-03-03_06:55:00
sell,eth,1546.79000000,2021-03-03_08:00:11
buy,eth,1557.26000000,2021-03-03_08:07:00
sell,eth,1558.93000000,2021-03-03_08:42:40
buy,eth,1560.06000000,2021-03-03_08:43:00
sell,eth,1573.67000000,2021-03-03_10:11:00
buy,eth,1577.00000000,2021-03-03_10:13:00
sell,eth,1589.51000000,2021-03-03_10:54:00
buy,eth,1588.99000000,2021-03-03_11:07:00
sell,eth,1606.46000000,2021-03-03_12:03:00
buy,eth,1609.06000000,2021-03-03_12:09:00
sell,eth,1610.83000000,2021-03-03_12:32:21
buy,eth,1598.42000000,2021-03-03_12:45:00
sell,eth,1608.94000000,2021-03-03_13:04:00
buy,eth,1608.06000000,2021-03-03_13:05:00
sell,eth,1609.75000000,2021-03-03_13:11:16
buy,eth,1606.98000000,2021-03-03_13:13:00
sell,eth,1608.59000000,2021-03-03_14:33:11
buy,eth,1618.52000000,2021-03-03_14:35:00
sell,eth,1624.47000000,2021-03-03_15:14:00
buy,eth,1603.59000000,2021-03-03_17:06:00
sell,eth,1606.09000000,2021-03-03_18:00:16
buy,eth,1608.60000000,2021-03-03_18:01:00
sell,eth,1616.56000000,2021-03-03_19:40:00
buy,eth,1625.00000000,2021-03-03_20:00:00
sell,eth,1627.26000000,2021-03-03_20:36:14
buy,eth,1608.47000000,2021-03-03_21:47:00

buy,eth,1578.98000000,2021-03-03_22:58:00
sell,eth,1583.58000000,2021-03-03_23:26:00
buy,eth,1583.69000000,2021-03-04_00:02:00
sell,eth,1605.46000000,2021-03-04_00:15:00
buy,eth,1605.58000000,2021-03-04_03:12:57
sell,eth,1608.33000000,2021-03-04_03:15:00
buy,eth,1610.20000000,2021-03-04_03:55:00
sell,eth,1614.21000000,2021-03-04_04:03:00
buy,eth,1615.68000000,2021-03-04_04:25:00


buy,eth,1563.42000000,2021-03-04_08:25:44
sell,eth,1566.10000000,2021-03-04_09:17:23
buy,eth,1556.94000000,2021-03-04_09:34:00
sell,eth,1564.79000000,2021-03-04_09:50:00
